feature,weight,std
tenure,0.021179815209665987,0.0039290049640612
InternetService_Fiber optic,0.014783226723525278,0.004744369372644946
TotalCharges,0.011229566453447082,0.003435123233431297
PaymentMethod_Electronic check,0.004975124378109474,0.0019593530564449456
PaperlessBilling_Yes,0.0034115138592750506,0.0026364231685844335
Contract_Two year,0.0029850746268656803,0.004658413534662122
OnlineSecurity_Yes,0.0027007818052594557,0.003435123233431297
Contract_One year,0.0017057569296375697,0.0028992292898892885
MultipleLines_No phone service,0.000995024875621886,0.000964083863983708
PhoneService_Yes,0.0008528784648187849,0.0011371712864250373
Dependents_Yes,0.0005685856432125381,0.002127452671939687
recharge_frequency,0.0001421464108031456,0.003954634752876634
MultipleLines_Yes,-0.000142146410803079,0.002558635394456304
TechSupport_Yes,-0.0002842928216062246,0.002644076082123431
StreamingTV_Yes,-0.0002842928216062246,0.0020401848037536856
StreamingMovies_No internet service,-0.000426439232409348,0.0014634868714977853
StreamingMovies_Yes,-0.0005685856432124714,0.0013781605849086886
DeviceProtection_No internet service,-0.000710732054015617,0.0012713961492535775
StreamingTV_No internet service,-0.0008528784648187182,0.0013781605849086931
OnlineBackup_No internet service,-0.0009950248756218417,0.0013182115842922163
gender_Male,-0.0009950248756218638,0.0018857852397187937
PaymentMethod_Credit card (automatic),-0.0009950248756218638,0.0014634868714977576
call_duration,-0.0012793176972281106,0.004202344136203107
PaymentMethod_Mailed check,-0.0017057569296374808,0.0016576977668359284
TechSupport_No internet service,-0.0018479033404406042,0.0010637263359698198
InternetService_No,-0.0019900497512437276,0.0028215256917241147
SeniorCitizen,-0.0022743425728500187,0.00222039791781286
OnlineSecurity_No internet service,-0.002700781805259389,0.0011371712864250343
DeviceProtection_Yes,-0.0028429282160625123,0.0013485192580675498
OnlineBackup_Yes,-0.0029850746268656357,0.0009428926198594068
MonthlyCharges,-0.0031272210376687816,0.004619211601783067
Partner_Yes,-0.003553660270078152,0.0021083719934884572
complaints,-0.0036958066808812974,0.001979870401874064
